1980043	295880	234757	360777	107150	165813	111627	151918	497725	1167046	760125	354036	323214	556550	698038	611184	506415	511790	257895	
417794	391551	204574	249192	79613	137878	195364	119541	805921	846890	543725	290097	295185	231214	574267	341816	457768	367535	360213	
452008	373734	186623	154417	100726	60446	159233	120797	539441	431607	414837	260299	169799	132947	295360	261966	218220	350316	341373	
539086	338426	219867	178847	82898	105550	149152	161092	509083	633166	228639	175526	109284	120869	182061	289270	341663	324289	312020	
347364	346531	195713	240521	100015	133321	162560	142254	762598	397626	236480	216016	126634	96606	367765	200729	325014	437314	372929	
272967	309597	128064	168113	101226	60255	141431	121386	342767	296529	137581	187446	86371	90931	145132	181221	196904	260975	252282	
225442	224567	113901	152027	65665	102808	139858	94473	429144	270821	164234	189209	143168	97009	196923	146490	197338	196731	196432	
212760	151580	88731	96990	58009	76445	95837	50630	242684	232231	91025	126122	74035	70204	146464	133596	142279	221701	86742	
152631	163524	114591	111693	82760	95861	97184	96027	278378	339770	115941	110039	101045	100222	162607	203558	168078	253336	129862	
122963	116784	97206	101651	49611	72229	71303	87661	301023	273967	149172	103475	114383	73511	161633	163677	139043	209158	150014	
190574	173779	135304	125888	110596	93483	162018	116362	335059	259758	141162	176855	131187	92678	218095	162069	179217	342396	315992	
143836	145736	88563	88333	143283	80226	128600	84768	285416	240569	145420	154904	107947	89274	151429	126375	103893	268748	217328	
189487	158667	154429	88536	106491	125711	141065	151815	238577	209980	193234	132375	125716	99476	179629	161844	182694	252671	306875	
159794	152102	151793	140160	129143	144164	127787	118734	198584	183323	132350	140573	96965	140633	188456	192193	204833	273976	215358	
129557	140260	141257	161003	89020	101538	119382	120706	322106	196772	124171	149533	114237	98670	165583	169664	224817	300053	267934	
218588	210999	148811	158472	141660	116884	164913	119879	237736	280802	149327	143390	101364	71300	152039	155059	203674	415253	360411	
158755	176900	112678	127785	95965	97367	121115	96931	221192	305721	132384	170793	97202	78441	148301	113257	118706	235619	345732	
199986	161481	140214	204263	91152	162778	135684	112731	454494	415624	181441	124548	97817	53704	269910	150755	261356	522455	447453	
188559	154918	176223	149674	96931	162581	156448	90996	714289	344782	156927	106121	96006	55516	298162	124052	263050	444640	454448	
142653	125854	143559	194976	115222	240997	220615	102898	1038502	485022	113175	108660	96697	105527	321317	181951	237883	386587	528060	
131106	109236	183799	280746	115792	327488	227588	120892	1455396	890048	116055	121795	88818	116519	392933	276734	280847	463249	576941	
93449	104556	83108	73648	98701	94369	116040	129461	442207	479782	110699	97344	92874	81437	212282	269731	92336	186185	287745	
83224	82043	94185	96073	55395	85157	82911	56458	620768	367317	68167	75349	52154	51036	158447	130732	105378	109449	184283	
93277	78235	97197	92496	65448	79008	108906	108916	798589	455500	95767	80592	85975	71083	188291	182452	116452	140751	180881	
76018	60904	62079	63392	54689	43499	95603	98789	770233	429504	86844	65891	61607	77623	137602	201813	55552	76091	192406	
135157	133018	106974	132424	92391	55138	131176	78617	1477821	357419	72369	79101	45797	55268	219056	176885	115788	146471	199406	
139660	155643	118801	136754	77859	98946	124397	229475	2248168	524590	98071	118697	82010	110474	195746	155930	115889	127150	276284	
154782	164283	156021	191770	58467	76047	117612	109640	2330992	638368	96964	108169	76819	71312	145134	122476	179515	134339	241094	
88145	91958	76426	71720	38021	29176	62025	65111	803135	305171	60160	65254	39570	47886	75456	89838	75331	53682	122155	
36716	38857	38065	48125	22579	28788	32628	33888	323963	160418	29289	28272	29644	25001	52337	48779	36418	32540	77236	
30857	38897	28856	31342	7936	23551	24624	23109	194420	90907	24304	23971	16686	18768	43288	25195	29595	31565	49199	
23673	20763	20616	23908	12542	12267	21491	11981	109756	41075	17214	19189	15964	20106	37407	29565	22750	25392	26715	
21245	19576	24198	21956	9244	11838	15631	19198	87787	58206	16723	14810	20947	17286	38641	21089	20646	16388	36239	
